Date,Ticker,Name,Open,High,Low,Close,Volume,ForeignNetBuy,TrustNetBuy,DealerNetBuy,RetailVolume
2026-09-21,2344.TW,華邦電,180.0,180.0,174.0,174.0,76635914,-23211982.0,-855220.0,-1234113.0,51334599
2026-09-21,2345.TW,智邦,1840.0,1880.0,1810.0,1840.0,3499481,182324.0,-785580.0,115622.0,2415955
2026-09-21,2347.TW,聯強,90.8,91.0,89.1,89.8,4649153,-485858.0,-31000.0,15258.0,4117037
2026-09-21,2348.TW,海悅,73.9,73.9,72.3,73.0,432867,12780.0,0.0,-1162.0,418925
2026-09-21,2349.TW,錸德,10.4,10.5,10.35,10.4,1713124,412226.0,0.0,7000.0,1293898
2026-09-21,2351.TW,順德,243.0,243.5,236.0,236.5,2557086,-236800.0,0.0,-15425.0,2304861
2026-09-21,2352.TW,佳世達,29.45,29.8,29.25,29.6,8883719,2916780.0,0.0,65973.0,5900966
2026-09-21,2353.TW,宏碁,32.05,32.6,32.0,32.15,13720271,3290238.0,44227.0,-708071.0,9677735
2026-09-21,2354.TW,鴻準,65.5,65.5,64.7,64.9,6500860,-2359140.0,3000.0,-105936.0,4032784
2026-09-21,2355.TW,敬鵬,41.05,41.5,40.95,41.3,1131618,243000.0,0.0,-77141.0,811477
2026-09-21,2356.TW,英業達,62.3,62.6,61.5,61.8,6876074,-988043.0,-518874.0,80281.0,5288876
2026-09-21,2357.TW,華碩,973.0,973.0,943.0,946.0,2037308,-561949.0,-7202.0,-19188.0,1448969
2026-09-21,2359.TW,所羅門,132.0,132.5,129.5,132.0,1587213,-5000.0,0.0,127878.0,1454335
2026-09-21,2360.TW,致茂,2515.0,2515.0,2315.0,2375.0,3796584,594191.0,-264075.0,-29209.0,2909109
2026-09-21,2362.TW,藍天,48.05,48.45,48.05,48.25,279293,10498.0,0.0,6000.0,262795
2026-09-21,2363.TW,矽統,54.7,59.0,54.7,59.0,14131099,3954180.0,0.0,665917.0,9511002
2026-09-21,2364.TW,倫飛,65.1,68.2,64.5,67.5,371238,84217.0,0.0,0.0,287021
2026-09-21,2365.TW,昆盈,28.25,29.3,28.2,29.2,966559,358227.0,0.0,2000.0,606332
2026-09-21,2367.TW,燿華,40.8,41.9,40.8,41.8,3540050,551118.0,0.0,92541.0,2896391
2026-09-21,2368.TW,金像電,1020.0,1050.0,1000.0,1045.0,7314499,-1587862.0,-134046.0,377818.0,5214773
2026-09-21,2369.TW,菱生,31.55,33.6,31.55,32.25,22679351,-1943913.0,0.0,25341.0,20710097
2026-09-21,2371.TW,大同,29.0,30.35,29.0,30.0,21014487,8130762.0,-861.0,299722.0,12583142
2026-09-21,2373.TW,震旦行,53.0,53.1,52.6,53.1,21013,-3000.0,0.0,1000.0,17013
2026-09-21,2374.TW,佳能,67.8,67.9,67.3,67.3,1469145,-196000.0,0.0,3521.0,1269624
2026-09-21,2375.TW,凱美,120.5,123.0,118.0,118.5,2369137,-410874.0,0.0,1025.0,1957238
2026-09-21,2376.TW,技嘉,360.0,376.0,355.0,368.0,11634817,570476.0,37442.0,-112629.0,10914270
2026-09-21,2377.TW,微星,154.0,156.5,153.0,153.0,5796230,794077.0,31000.0,182010.0,4789143
2026-09-21,2379.TW,瑞昱,733.0,743.0,724.0,740.0,2964925,1612927.0,-18453.0,112436.0,1221109
2026-09-21,2380.TW,虹光,17.0,17.1,16.5,16.5,123846,4000.0,0.0,0.0,119846
2026-09-21,2382.TW,廣達,344.0,344.5,339.0,344.5,8285050,-1255121.0,1675299.0,95374.0,5259256
2026-09-21,2383.TW,台光電,4900.0,4945.0,4795.0,4895.0,2394262,369859.0,-772021.0,90813.0,1161569
2026-09-21,2385.TW,群光,107.0,107.0,105.0,105.5,1252368,-46954.0,-89011.0,-30128.0,1086275
2026-09-21,2387.TW,精元,36.85,37.15,36.5,37.05,208476,-408.0,40293.0,2000.0,165775
2026-09-21,2388.TW,威盛,70.5,70.9,69.5,69.7,2376608,-859908.0,0.0,4086.0,1512614
2026-09-21,2390.TW,云辰,10.2,10.3,10.05,10.25,339673,146310.0,0.0,6000.0,187363
2026-09-21,2392.TW,正崴,42.05,44.85,41.05,44.55,5140025,827872.0,0.0,352341.0,3959812
2026-09-21,2393.TW,億光,64.4,64.6,63.9,64.2,747378,-175324.0,119137.0,1186.0,451731
2026-09-21,2395.TW,研華,688.0,712.0,688.0,706.0,2085226,720210.0,51916.0,67872.0,1245228
2026-09-21,2397.TW,友通,60.8,62.2,60.8,61.8,170106,42000.0,0.0,1000.0,127106
2026-09-21,2399.TW,映泰,48.55,51.0,48.2,49.45,11211179,3782389.0,0.0,74745.0,7354045
2026-09-21,2401.TW,凌陽,25.5,26.45,25.5,26.25,4848287,-83709.0,0.0,58221.0,4706357
2026-09-21,2402.TW,毅嘉,54.5,54.8,53.8,54.0,758230,-63000.0,0.0,-40239.0,654991
2026-09-21,2404.TW,漢唐,1125.0,1160.0,1090.0,1130.0,2092541,-603031.0,572000.0,-7876.0,909634
2026-09-21,2405.TW,輔信,15.15,15.3,15.05,15.2,788492,255000.0,0.0,4000.0,529492
2026-09-21,2406.TW,國碩,28.35,30.4,28.05,30.4,12317610,75000.0,0.0,42264.0,12200346
2026-09-21,2408.TW,南亞科,525.0,528.0,513.0,516.0,34499395,-4122631.0,-38146.0,-145219.0,30193399
